celltype	assay	sample_id	file_id	wig_id
H1-hESC	H3K4me1	ENCSR271TFS	ENCFF694ENI	ENCFF593OAZ
H1-hESC	H3K4me2	ENCSR322MEI	ENCFF441MSJ	ENCFF502TJG
H1-hESC	H3K4me3	ENCSR443YAS	ENCFF277AOQ	ENCFF623ZAW
H1-hESC	H3K9ac	ENCSR441UHO	ENCFF806NNI	ENCFF834AZA
H1-hESC	H3K9me3	ENCSR883AQJ	ENCFF348GGB	ENCFF300CCI
H1-hESC	H3K27ac	ENCSR880SUY	ENCFF045CUG	ENCFF986PCY
H1-hESC	H3K27me3	ENCSR928HYM	ENCFF411ESN	ENCFF502GXT
H1-hESC	CAGE	ENCSR000CJB	ENCFF038OTF	.
K562	H3K4me1	ENCSR000EWC	ENCFF159VKJ	ENCFF761XBZ
K562	H3K4me2	ENCSR000AKT	ENCFF118PIE	ENCFF491AUC
K562	H3K4me3	ENCSR668LDD	ENCFF616DLO	ENCFF525ZRM
K562	H3K9ac	ENCSR000AKV	ENCFF306MNO	ENCFF115LJM
K562	H3K9me3	ENCSR000APE	ENCFF371GMJ	ENCFF812HRW
K562	H3K27ac	ENCSR000AKP	ENCFF038DDS	ENCFF779QTH
K562	H3K27me3	ENCSR000AKQ	ENCFF049HUP	ENCFF914VFE
K562	CAGE	ENCSR000CJN	ENCFF698DQS	.
GM12878	H3K4me1	ENCSR000AKF	ENCFF453PEP	ENCFF831ZHL
GM12878	H3K4me2	ENCSR000AKG	ENCFF108JKZ	ENCFF039HDL
GM12878	H3K4me3	ENCSR057BWO	ENCFF188SZS	ENCFF003DXG
GM12878	H3K9ac	ENCSR000AKH	ENCFF069KAG	ENCFF028KBY
GM12878	H3K9me3	.	.	.
GM12878	H3K27ac	ENCSR000AKC	ENCFF367KIF	ENCFF340JIF
GM12878	H3K27me3	ENCSR000AKD	ENCFF153VOQ	ENCFF313LYI
GM12878	CAGE	ENCSR000CKA	ENCFF853HOH	.
HeLa-S3	H3K4me1	ENCSR000APW	ENCFF360CQR	ENCFF430ZMK
HeLa-S3	H3K4me2	ENCSR000AOE	ENCFF902IDL	ENCFF752UST
HeLa-S3	H3K4me3	ENCSR340WQU	ENCFF310XFO	ENCFF913SUG
HeLa-S3	H3K9ac	ENCSR000AOH	ENCFF510LKP	ENCFF431ISH
HeLa-S3	H3K9me3	ENCSR000AQO	ENCFF712ATO	ENCFF891XLY
HeLa-S3	H3K27ac	ENCSR000AOC	ENCFF392EDT	ENCFF194XTD
HeLa-S3	H3K27me3	ENCSR000APB	ENCFF512TQI	ENCFF614HNF
HeLa-S3	CAGE	ENCSR000CJJ	ENCFF976HUN	.
HepG2	H3K4me1	ENCSR000APV	ENCFF532AGT	ENCFF058GCZ
HepG2	H3K4me2	ENCSR000AMC	ENCFF739KJL	ENCFF109QAV
HepG2	H3K4me3	ENCSR575RRX	ENCFF185WOB	ENCFF736LHE
HepG2	H3K9ac	ENCSR000AMD	ENCFF358CJW	ENCFF053ROV
HepG2	H3K9me3	ENCSR000ATD	ENCFF353MWR	ENCFF485BCI
HepG2	H3K27ac	ENCSR000AMO	ENCFF886SZT	ENCFF764VYK
HepG2	H3K27me3	ENCSR000AOL	ENCFF337XQQ	ENCFF598TWA
HepG2	CAGE	ENCSR000CJM	ENCFF246WDH	.
MCF-7	H3K4me1	ENCSR493NBY	ENCFF583NFB	ENCFF275KBS
MCF-7	H3K4me2	ENCSR875KOJ	ENCFF679UGD	ENCFF299JCQ
MCF-7	H3K4me3	ENCSR985MIB	ENCFF625APE	ENCFF797IUA
MCF-7	H3K9ac	ENCSR056UBA	ENCFF190ZXX	ENCFF058NKU
MCF-7	H3K9me3	ENCSR999WHE	ENCFF098LYR	ENCFF191LDZ
MCF-7	H3K27ac	ENCSR752UOD	ENCFF784QFH	ENCFF515VXR
MCF-7	H3K27me3	ENCSR761DLU	ENCFF140SFK	ENCFF495QYP
MCF-7	CAGE	ENCSR000CJO	ENCFF923KQX	.
NHEK	H3K4me1	.	.	.
NHEK	H3K4me2	.	.	.
NHEK	H3K4me3	ENCSR970FPM	ENCFF040OYX	ENCFF138LAA
NHEK	H3K9ac	.	.	.
NHEK	H3K9me3	ENCSR000ARN	ENCFF737VLP	ENCFF251CYW
NHEK	H3K27ac	ENCSR000ALK	ENCFF397SDI	ENCFF717RJQ
NHEK	H3K27me3	ENCSR000DWU	ENCFF197KIU	ENCFF553JEA
NHEK	CAGE	ENCSR000CJP	ENCFF260MFS	.
HUVEC	H3K4me1	.	.	.
HUVEC	H3K4me2	ENCSR000AKM	ENCFF051JNM	ENCFF887SAU
HUVEC	H3K4me3	ENCSR578QSO	ENCFF992YLK	ENCFF032KUS
HUVEC	H3K9ac	.	.	.
HUVEC	H3K9me3	ENCSR000ATB	ENCFF971SSW	ENCFF923UUB
HUVEC	H3K27ac	ENCSR000ALB	ENCFF426QFH	ENCFF656TFQ
HUVEC	H3K27me3	ENCSR000AKK	ENCFF043IDE	ENCFF670AYF
HUVEC	CAGE	ENCSR000CJE	ENCFF085PWK	.
